section_id,term,department,cross_list_group,course_description,section_number,title,credits,level,status,enrollment_limit,actual_enrollment,cross_list_enrollment,waitlist
73026,201770,BIS,-,BIS 300,1,Understanding Interdis Studies,3,Undergraduate - Upper Division,CN,23,22,0,2
71596,201770,BIS,-,BIS 300,3,Understanding Interdis Studies,3,Undergraduate - Upper Division,CN,20,20,0,0
83044,201770,BIS,-,BIS 300,6,Understanding Interdis Studies,3,Undergraduate - Upper Division,CN,20,13,0,0
83390,201770,BIS,-,BIS 300,7,Understanding Interdis Studies,3,Undergraduate - Upper Division,CN,20,6,0,0
82695,201770,BIS,-,BIS 300,DL6,Understanding Interdis Studies,3,Undergraduate - Upper Division,CN,20,21,0,0
75960,201770,BIS,-,BIS 390,1,The Research Process,3,Undergraduate - Upper Division,CN,20,21,0,0
83465,201770,BIS,-,BIS 390,2,The Research Process,3,Undergraduate - Upper Division,CN,20,7,0,0
79086,201770,BIS,-,BIS 490,1,RS: Bach Individual Study Proj,3,Undergraduate - Upper Division,CN,20,14,0,0
79087,201770,BIS,-,BIS 490,3,RS: Bach Individual Study Proj,3,Undergraduate - Upper Division,CN,20,19,0,0
73761,201770,BIS,-,BIS 491,1,Senior Project Presentation,1,Undergraduate - Upper Division,CN,15,8,0,0
74215,201770,BIS,-,BIS 491,2,Senior Project Presentation,1,Undergraduate - Upper Division,CN,15,9,0,0
79082,201770,BIS,-,BIS 491,3,Senior Project Presentation,1,Undergraduate - Upper Division,CN,15,15,0,1
74164,201770,COMM,-,COMM 100,2,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
70162,201770,COMM,-,COMM 100,3,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
72988,201770,COMM,-,COMM 100,4,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
73574,201770,COMM,-,COMM 100,5,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
70150,201770,COMM,-,COMM 100,6,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
70152,201770,COMM,-,COMM 100,11,Public Speaking,3,Undergraduate - Lower Division,O,24,23,0,0
70153,201770,COMM,-,COMM 100,12,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
70154,201770,COMM,-,COMM 100,13,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
70155,201770,COMM,-,COMM 100,14,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
74169,201770,COMM,-,COMM 100,15,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
70156,201770,COMM,-,COMM 100,16,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
72347,201770,COMM,-,COMM 100,17,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
74170,201770,COMM,-,COMM 100,18,Public Speaking,3,Undergraduate - Lower Division,CL,24,24,0,0
